,guuid,source,sampleid,plate_code
216,19c64fe5-173e-4ab3-873b-4adf102e2443,APHA,MSG21-C09,OX406_Ecol
217,19cf5be1-43af-48ca-997a-4f234b65771c,OXFORD,L43625,OX1366_Ecol_Oxf_BLC
218,19f1f26a-387d-42f1-b3b6-b469270f6d40,HICF,HICF840,OX58_MIXED
219,19f369f3-405d-4093-becf-a369a3ed139f,OXFORD,L74193,OX289_Ecol
220,1a0ccddc-b2d7-4fb9-ae4b-807f3232408a,HICF,HICF536_I1_E1,375_Mixd_batch37
222,1a6beacb-cf14-4ca0-a16e-81f9d01a5c40,OXFORD,L78085,OX1364_Ecol_Oxf_BLC
223,1a755d13-fdcb-42e8-be09-22de323571cf,APHA,MSG07-C17,OX405_Ecol
224,1a7c8b4e-3fad-467c-b719-e7e9b98e8c47,HICF,HICF606,OX32_Ecol
225,1a815893-81f3-4a26-85a8-2e027b12da73,APHA,MSG21-C11,OX406_Ecol
227,1ab1803c-602d-4b9c-9549-bed784fcff72,OXFORD,M19769,OX280_Ecol
228,1b4d6ec6-5f28-4843-902a-999a6cbab877,HICF,HICF122_I1_E1,361_Ecol_batch15
229,1b4f1a00-1c95-4738-8f84-1745d5fc6122,APHA,MSG43-C15,OX1179_ECOL_APHA_Molsig
230,1b55ac76-f4fa-4612-b00d-c91d9427faf0,OXFORD,L3651,OX1365_Ecol_Oxf_BLC
231,1b845433-e057-4660-8db3-9cfc61d065c1,APHA,MSG51-C12,OX410_Ecol
232,1b94d415-8632-4ad6-a2b7-5c6c9f07ca5a,APHA,MSG17-C20,OX405_Ecol
233,1ba76647-efbe-406c-8343-c7be1be81e5a,APHA,MSG57-C10,OX1173_ECOL_APHA_Molsig
234,1bee9b32-fba2-4870-abb3-520fe8afd174,OXFORD,L59142,OX289_Ecol
235,1c039313-9d19-47fb-9c50-a4b690b82a1c,OXFORD,L24016,OX300_Ecol
236,1c2a475f-944e-40b4-9540-9ad9fc777452,OXFORD,L11674,OX319_Ecol
237,1c2c8fdb-15a6-4ff1-9fc4-d614546a5485,OXFORD,L18936,OX1365_Ecol_Oxf_BLC
238,1c553e59-1ab6-460d-b650-3d05314ddaaa,OXFORD,L35909,OX290_Ecol
239,1cf9edc6-0b34-4dc2-bd0a-bce613848420,OXFORD,L95129,OX1365_Ecol_Oxf_BLC
240,1d0ede66-c6bc-461a-a372-48f6d2b37cc7,OXFORD,L31991,OX1366_Ecol_Oxf_BLC
