isolate,pattern,simulatable,contig
5884f4d7-3dd1-42c9-9b18-8fca7b98df5a,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,True,NODE_81_length_4532_cov_266.417508
5884f4d7-3dd1-42c9-9b18-8fca7b98df5a,sul1_2_U12338:sul1_5_EU780013,True,NODE_60_length_13790_cov_41.181725
5884f4d7-3dd1-42c9-9b18-8fca7b98df5a,dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926,True,NODE_60_length_13790_cov_41.181725
60e75cf9-7121-4b07-80a6-bba27f8722dd,sul1_2_U12338:sul1_5_EU780013,True,NODE_67_length_6642_cov_42.216146
53a25791-f1ad-460c-a83c-3120b05c9512,blaCMY-114_1_KM087846:blaCMY-42_1_HM146927,True,NODE_52_length_26734_cov_112.785872
53a25791-f1ad-460c-a83c-3120b05c9512,sul1_2_U12338:sul1_5_EU780013,True,NODE_84_length_6605_cov_57.818015
c34f78bf-b9d8-4682-94ef-6075353d95e7,sul1_2_U12338:sul1_5_EU780013,True,NODE_47_length_5551_cov_58.649251
d1e9148b-6212-434d-9c22-446fc4f49eea,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_39_length_860_cov_74.274585
d1e9148b-6212-434d-9c22-446fc4f49eea,aph(3'')-Ib_4_AF313472:aph(3'')-Ib_2_AF024602,True,NODE_25_length_18623_cov_32.915723
d1e9148b-6212-434d-9c22-446fc4f49eea,sul1_2_U12338:sul1_5_EU780013,True,NODE_26_length_18226_cov_32.849964
d1e9148b-6212-434d-9c22-446fc4f49eea,dfrA1_7_AJ400733:dfrA1_8_X00926,True,NODE_7_length_248774_cov_44.777090
3831ed4c-eb2e-4416-a657-736acb08b8d8,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_66_length_8228_cov_64.954852
3831ed4c-eb2e-4416-a657-736acb08b8d8,dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350,True,NODE_134_length_722_cov_92.218605
c4225a15-5219-4143-b355-4aff3d330f4c,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_31_length_65421_cov_41.944142
f670d103-d482-42a5-98d6-2cddb0fa0e75,qnrS1_1_AB187515:qnrS6_1_HQ631376,True,NODE_71_length_1762_cov_149.820011
