trg_pattern,abx,number_of_isolates,method_agreement,overall_agreement
blaCMY-2_1_X91840:blaCMY-81_1_JQ733578|1:0|1:0|1:0|1:1,blm,4,1:1:1:2,False
aadA2_2_JQ364967|0|0|0|1,ami,1,1:1:1:2,False
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_5_AF321551|1:0|0:1|1:0|1:0,ami,22,1:2:1:1,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,22,1:2:2:3,False
blaCMY-114_1_KM087846:blaCMY-2_1_X91840|0:1|0:1|0:1|1:1,blm,15,1:1:1:2,False
aadA4_1_Z50802|1|1|1|1,ami,4,1:1:1:1,True
dfrA21_1_AY552589:dfrA22_2_KF525301:dfrA22_5_AJ968952|1:0:0|1:0:0|1:0:0|1:1:1,tri,4,1:1:1:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:0:1:0:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,5,1:2:1:3,False
aph(3')-Ia_3_EF015636|1|1|1|1,ami,1,1:1:1:1,True
aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971|1:0|0:1|1:0|0:0,ami,11,1:2:1:3,False
qnrS1_1_AB187515:qnrS2_1_DQ485530|1:0|1:0|1:0|1:1,qui,19,1:1:1:2,False
ant(3'')-Ia_1_X02340|0|0|1|0,ami,1,1:1:2:1,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:1:0:0:0|0:0:0:0:0:0:1|1:1:1:0:1:1:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,3,1:2:2:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:1:0:0|0:0:1:0:1:0|0:0:0:1:0:1|1:1:1:1:0:1,ami,1,1:2:3:4,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:1:0:0:0:1:0:0|0:0:0:0:0:0:0:1|1:0:1:1:1:0:1:0,ami,1,1:2:1:3,False
blaTEM-1B_1_AY458016:blaTEM-206_1_KC783461|1:0|0:1|1:0|1:0,blm,1,1:2:1:1,False
blaLEN17_1_EF205593:blaSHV-100_1_AM941846:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404|0:0:0:0:1|0:0:1:0:1|0:0:0:1:0|1:1:0:1:0,blm,2,1:2:3:4,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:0:1:0:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,6,1:2:1:3,False
blaCTX-M-14_1_AF252622|1|1|1|1,blm,6,1:1:1:1,True
blaTEM-33_1_GU371926|1|1|1|1,blm,3,1:1:1:1,True
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,7,1:2:2:3,False
dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926|0:0:0:1|1:0:0:0|0:1:0:0|0:0:1:1,tri,4,1:2:3:4,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:0:1:0:0:1:0:0|0:0:0:0:0:0:0:1|1:1:0:1:1:0:1:0,ami,5,1:2:1:3,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA24_1_DQ677333:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:1:0:0:0|0:0:0:0:0:1|1:1:0:1:1:0,ami,3,1:2:1:3,False
blaOXA-48_1_AY236073|1|1|1|1,blm,7,1:1:1:1,True
blaTEM-1A_1_HM749966|0|0|0|1,blm,1,1:1:1:2,False
dfrA17_1_FJ460238|1|0|1|0,tri,2,1:2:1:2,False
blaTEM-1B_1_AY458016:blaTEM-22_1_Y17583|1:0|0:1|1:0|1:0,blm,1,1:2:1:1,False
aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:1|0:1:0:0|0:0:1:0|1:0:1:1,ami,1,1:2:3:4,False
dfrA15_2_AF221900|1|1|1|1,tri,10,1:1:1:1,True
blaLEN12_1_AJ635406:blaSHV-100_1_AM941846:blaSHV-102_1_EU024485:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404|0:0:0:0:0:1|0:0:1:1:0:0|0:0:0:0:1:0|1:1:0:0:1:0,blm,4,1:2:3:4,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:1:0:0:0|0:0:0:0:0:0:1|1:1:1:0:1:1:0,ami,1,1:2:1:3,False
blaTEM-1B_1_AY458016:blaTEM-30_1_AJ437107|1:0|0:1|1:0|1:0,blm,1,1:2:1:1,False
aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:1:0:0|1:1:1:1:0,ami,8,1:2:2:3,False
blaNDM-5_1_JN104597|1|1|1|1,blm,2,1:1:1:1,True
sul2_10_AM183225:sul2_3_HQ840942|0:1|1:0|0:1|0:1,sul,1,1:2:1:1,False
blaTEM-30_1_AJ437107|1|1|1|1,blm,9,1:1:1:1,True
aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib-cr_2_EF636461|1:0|0:1|0:1|0:1,ami,1,1:2:2:2,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:0:1:1|1:0:1:1:1:0:1:0,ami,1,1:2:3:4,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:1:0:0|1:1:1:1:0,ami,6,1:2:2:3,False
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472|1:0|0:1|1:0|1:0,ami,25,1:2:1:1,False
dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350|0:0:0:1:0|0:0:0:0:1|0:1:0:0:0|1:0:1:0:0,tri,17,1:2:3:4,False
dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350|0:0:0:1:0|0:0:0:0:1|0:1:0:0:1|1:0:1:0:0,tri,1,1:2:3:4,False
